id,lang1,lang2,lang3,lang4,lang5,lang6,lang7,lang8,lang9,lang10
406, Français,,,,,,,,,
45549, English,,,,,,,,,
63076, English,,,,,,,,,
11062, English,,,,,,,,,
13685, Español, English,,,,,,,,
47475, English,,,,,,,,,
2045, English,,,,,,,,,
9614, English,,,,,,,,,
688, English,,,,,,,,,
11907, Deutsch,,,,,,,,,
10874, English,,,,,,,,,
89333, English,,,,,,,,,
96357,,,,,,,,,,
197, English, Français, Latin, ,,,,,,
103, English, Español,,,,,,,,
33542, 广州话 / 廣州話, English,,,,,,,,
43566, English, Français, Deutsch,,,,,,,
71754, English,,,,,,,,,
43612, Français,,,,,,,,,
51352, English,,,,,,,,,
16934, English,,,,,,,,,
10324, English,,,,,,,,,
78406, English,,,,,,,,,
55731, English,,,,,,,,,
32119, English,,,,,,,,,
11066, Français, English,,,,,,,,
11104, 广州话 / 廣州話, English, 日本語, 普通话,,,,,,
37975, Italiano,,,,,,,,,
2074, English,,,,,,,,,
27793, English,,,,,,,,,
44284, العربية, Français,,,,,,,,
290157,,,,,,,,,,
110972, English,,,,,,,,,
32622, English,,,,,,,,,
73067, English,,,,,,,,,
11863, English,,,,,,,,,
55475, Español,,,,,,,,,
124636, English,,,,,,,,,
9101, English,,,,,,,,,
123360, English,,,,,,,,,
5757, English,,,,,,,,,
39428, English,,,,,,,,,
124639,,,,,,,,,,
9302, Français,,,,,,,,,
11000, English, Français,,,,,,,,
249882, English, Hrvatski, Bosanski,,,,,,,
16388, English,,,,,,,,,
9737, English,,,,,,,,,
30765, Deutsch,,,,,,,,,
10474, English,,,,,,,,,
22279, English,,,,,,,,,
30157, English,,,,,,,,,
568, English,,,,,,,,,
11780, English,,,,,,,,,
34996, English,,,,,,,,,
414, English,,,,,,,,,
649, Français, , Español,,,,,,,
1873, English,,,,,,,,,
5894, English,,,,,,,,,
1775, English,,,,,,,,,
8839, English,,,,,,,,,
20649, English,,,,,,,,,
10329, English, Français,,,,,,,,
8963, English,,,,,,,,,
26564, English,,,,,,,,,
8068, English,,,,,,,,,
8512, English,,,,,,,,,
1572, English, Deutsch, Română,,,,,,,
13552, English,,,,,,,,,
259209, English,,,,,,,,,
6520, English, Français,,,,,,,,
9073, English, Bahasa indonesia, Bahasa melayu,,,,,,,
10428, English, Italiano, 日本語, Pусский,,,,,,
17447, English, Français,,,,,,,,
9886, English, 日本語,,,,,,,,
9482, English,,,,,,,,,
19326, English,,,,,,,,,
9344, English,,,,,,,,,
9071, English,,,,,,,,,
8973, English,,,,,,,,,
15730, English,,,,,,,,,
47608, English,,,,,,,,,
2293, English,,,,,,,,,
9070, English,,,,,,,,,
68274, English,,,,,,,,,
48787, Pусский, English,,,,,,,,
34574, Deutsch, English,,,,,,,,
1642, English, Español,,,,,,,,
11472, English, Pусский,,,,,,,,
36196, English,,,,,,,,,
11980, English,,,,,,,,,
58372, English,,,,,,,,,
32646, English,,,,,,,,,
10533, English,,,,,,,,,
56088,,,,,,,,,,
10802, English,,,,,,,,,
10149, English,,,,,,,,,
18402, English,,,,,,,,,
9348, English,,,,,,,,,
139408, Magyar, English,,,,,,,,
281, English,,,,,,,,,
5967, Français,,,,,,,,,
79593, English,,,,,,,,,
47939, English,,,,,,,,,
36834, English,,,,,,,,,
9090, English, Español,,,,,,,,
3512, English,,,,,,,,,
52856, English,,,,,,,,,
77350, English,,,,,,,,,
9560, English,,,,,,,,,
9804, English, Deutsch, Español,,,,,,,
31611, English,,,,,,,,,
65796, 广州话 / 廣州話, English,,,,,,,,
49805, English,,,,,,,,,
26258, English, Deutsch,,,,,,,,
50797, Pусский,,,,,,,,,
19155, shqip, English, ,,,,,,,
76, English, Deutsch, Français,,,,,,,
11017, Français, Español, English,,,,,,,
37141, English,,,,,,,,,
9382, English,,,,,,,,,
6715, English,,,,,,,,,
18256, English, Italiano, svenska,,,,,,,
22625, English,,,,,,,,,
2292, English,,,,,,,,,
1909, English,,,,,,,,,
8984, English,,,,,,,,,
61813, English,,,,,,,,,
4954, English,,,,,,,,,
62488, English,,,,,,,,,
10531, English,,,,,,,,,
11929, English,,,,,,,,,
8467, English,,,,,,,,,
10451, 普通话,,,,,,,,,
20156, English, עִבְרִית,,,,,,,,
18395, English,,,,,,,,,
522, English,,,,,,,,,
397, Français, English,,,,,,,,
10525, English,,,,,,,,,
27985, English,,,,,,,,,
15789, English,,,,,,,,,
27303, English,,,,,,,,,
21183, English,,,,,,,,,
10954, Français,,,,,,,,,
47867, English,,,,,,,,,
43475, English,,,,,,,,,
72031, English,,,,,,,,,
14275, English,,,,,,,,,
1024, English,,,,,,,,,
17207, English, Pусский,,,,,,,,
13701, English,,,,,,,,,
14819, English,,,,,,,,,
32631, English, Français, Deutsch,,,,,,,
11777, English, Deutsch,,,,,,,,
628, English, Français,,,,,,,,
87729, English,,,,,,,,,
18713, English,,,,,,,,,
6280, English,,,,,,,,,
9061, English,,,,,,,,,
37108, English,,,,,,,,,
6071, English,,,,,,,,,
11, English,,,,,,,,,
9587, English, Deutsch, Français,,,,,,,
19101, English, Français,,,,,,,,
49980, English,,,,,,,,,
17961, Français,,,,,,,,,
18183, English, Español,,,,,,,,
4476, , English,,,,,,,,
11008, English,,,,,,,,,
47504, English,,,,,,,,,
32325, English, Español,,,,,,,,
43742, English,,,,,,,,,
28313, English,,,,,,,,,
11318, English,,,,,,,,,
3036, English,,,,,,,,,
40490, English,,,,,,,,,
24070, English,,,,,,,,,
8986, English,,,,,,,,,
10510, English,,,,,,,,,
17402, English,,,,,,,,,
38722, English, Español,,,,,,,,
8438, English,,,,,,,,,
11593, Český, English, Magyar,,,,,,,
1945, English,,,,,,,,,
39310, English,,,,,,,,,
109560, English, 广州话 / 廣州話,,,,,,,,
56428, English,,,,,,,,,
63105, English,,,,,,,,,
131957, English,,,,,,,,,
241, English, , 日本語,,,,,,,
9058, English,,,,,,,,,
527, English, ,,,,,,,,
18220, English,,,,,,,,,
6950, English, 한국어/조선말, Français,,,,,,,
101, English,,,,,,,,,
63020, English,,,,,,,,,
2307, English,,,,,,,,,
680, English, Español, Français,,,,,,,
41478, English,,,,,,,,,
25296, English, 普通话,,,,,,,,
40156, English,,,,,,,,,
11450, English,,,,,,,,,
30304, , English, 日本語,,,,,,,
10452, Français, Italiano,,,,,,,,
12106, English,,,,,,,,,
161495, English,,,,,,,,,
3586, Français, Italiano, Pусский, Español, English,,,,,
110, Français,,,,,,,,,
108, Français, Polski,,,,,,,,
109, Français, Magyar, Polski,,,,,,,
159185, 普通话,,,,,,,,,
36357, English,,,,,,,,,
92769, English,,,,,,,,,
28033, English,,,,,,,,,
22586, English,,,,,,,,,
14334, English, Gaeilge,,,,,,,,
2636, English,,,,,,,,,
2164, English, Norsk, svenska,,,,,,,
11395, English,,,,,,,,,
278, English,,,,,,,,,
9905, English,,,,,,,,,
87078, English,,,,,,,,,
12527, Español,,,,,,,,,
20306, English,,,,,,,,,
36614, English,,,,,,,,,
27993, English, Deutsch,,,,,,,,
31439, 普通话,,,,,,,,,
9067, English,,,,,,,,,
9059, English,,,,,,,,,
193, English,,,,,,,,,
25066, English,,,,,,,,,
46797, English,,,,,,,,,
12122, English,,,,,,,,,
11381, English,,,,,,,,,
32636, English,,,,,,,,,
36141, English,,,,,,,,,
95963, English,,,,,,,,,
1587, English,,,,,,,,,
9271, English,,,,,,,,,
2064, English,,,,,,,,,
19855, English,,,,,,,,,
60855, 广州话 / 廣州話, English,,,,,,,,
236, English,,,,,,,,,
48287, English,,,,,,,,,
3049, English,,,,,,,,,
2759, English,,,,,,,,,
12635, English, Français, Deutsch, Pусский,,,,,,
10497, Français, English,,,,,,,,
11382, English,,,,,,,,,
9331, English,,,,,,,,,
10731, English,,,,,,,,,
10464, English, Français,,,,,,,,
34152, English,,,,,,,,,
9495, English,,,,,,,,,
29973, English,,,,,,,,,
888, English,,,,,,,,,
13, English,,,,,,,,,
712, English,,,,,,,,,
16295, English,,,,,,,,,
48992, English, Español,,,,,,,,
10879, English, Français,,,,,,,,
10660, English,,,,,,,,,
10714, English, Slovenčina,,,,,,,,
41647, Deutsch,,,,,,,,,
8587, English,,,,,,,,,
1689, English,,,,,,,,,
11596, English,,,,,,,,,
854, svenska, English,,,,,,,,
9359, English,,,,,,,,,
23333, English,,,,,,,,,
36593, English,,,,,,,,,
12280, English,,,,,,,,,
2788, English,,,,,,,,,
10427, English,,,,,,,,,
11011, English, Latin,,,,,,,,
49803, English,,,,,,,,,
8987, English,,,,,,,,,
1637, English,,,,,,,,,
15128, English,,,,,,,,,
8831, English,,,,,,,,,
36955, English, Français, العربية, Deutsch,,,,,,
10449, English, Français, Tiếng Việt,,,,,,,
10395, English,,,,,,,,,
12160, English,,,,,,,,,
40480, English,,,,,,,,,
52038, English,,,,,,,,,
29444, English,,,,,,,,,
26352, English,,,,,,,,,
39953, English,,,,,,,,,
41580, Français,,,,,,,,,
315, English,,,,,,,,,
22067, English,,,,,,,,,
18242, English,,,,,,,,,
11667, English, 日本語,,,,,,,,
32502, English,,,,,,,,,
267188,,,,,,,,,,
28732, English,,,,,,,,,
75555, English,,,,,,,,,
42981,,,,,,,,,,
278939, English,,,,,,,,,
291731, English,,,,,,,,,
226229, English,,,,,,,,,
203119, English,,,,,,,,,
172923,,,,,,,,,,
316098,,,,,,,,,,
8011, English,,,,,,,,,
171857,,,,,,,,,,
2654, English,,,,,,,,,
18069, English, Français,,,,,,,,
19092, English,,,,,,,,,
2758, English,,,,,,,,,
38129, English,,,,,,,,,
10436, English, Italiano,,,,,,,,
13595, English,,,,,,,,,
46094, English,,,,,,,,,
9409, English,,,,,,,,,
11853, English, Pусский,,,,,,,,
16771, Español, English,,,,,,,,
46924, English, ,,,,,,,,
11041, English,,,,,,,,,
306, English,,,,,,,,,
14522, English,,,,,,,,,
26203, English,,,,,,,,,
178, English,,,,,,,,,
19819, English,,,,,,,,,
57834, Français, English,,,,,,,,
4722, English,,,,,,,,,
18215, English,,,,,,,,,
1607, English, Italiano,,,,,,,,
26391, English,,,,,,,,,
117553, English,,,,,,,,,
6075, English, Español,,,,,,,,
11310, English, Italiano, Pусский,,,,,,,
18658, English,,,,,,,,,
9350, English,,,,,,,,,
9612, English,,,,,,,,,
2124, Český, English,,,,,,,,
26261, English, Magyar,,,,,,,,
19176, English,,,,,,,,,
49299, English,,,,,,,,,
11566, English,,,,,,,,,
9571, English,,,,,,,,,
9739, English,,,,,,,,,
24257, English,,,,,,,,,
34444, English, Deutsch,,,,,,,,
26141, English, ,,,,,,,,
10997, 普通话,,,,,,,,,
50463, English,,,,,,,,,
10443, English,,,,,,,,,
20239, English,,,,,,,,,
16297, English,,,,,,,,,
18551, English,,,,,,,,,
25440, English,,,,,,,,,
9024, English,,,,,,,,,
37233, English,,,,,,,,,
1634, English,,,,,,,,,
13815, English,,,,,,,,,
5503, English,,,,,,,,,
35588, English, Français,,,,,,,,
2087, English,,,,,,,,,
41579, English,,,,,,,,,
18620, English,,,,,,,,,
41006, English,,,,,,,,,
4916, English,,,,,,,,,
2019, English,,,,,,,,,
31642, English, Tiếng Việt,,,,,,,,
9255, English,,,,,,,,,
26271, English,,,,,,,,,
10612, English,,,,,,,,,
2259, Español, English,,,,,,,,
16097, English,,,,,,,,,
11934, English,,,,,,,,,
106143, English,,,,,,,,,
12475, English,,,,,,,,,
9386, English,,,,,,,,,
7984, English,,,,,,,,,
59930, English,,,,,,,,,
15765, English,,,,,,,,,
31643, English, Français,,,,,,,,
6, English,,,,,,,,,
329, English, Español,,,,,,,,
10909, English,,,,,,,,,
507, English, Français,,,,,,,,
34024, English,,,,,,,,,
29918, English,,,,,,,,,
9593, English,,,,,,,,,
42580, English,,,,,,,,,
22317, English, Deutsch,,,,,,,,
1413, English,,,,,,,,,
12121, English,,,,,,,,,
2246, English,,,,,,,,,
10502, English,,,,,,,,,
10440, English,,,,,,,,,
9516, English,,,,,,,,,
2320, English,,,,,,,,,
5879, 日本語,,,,,,,,,
83718, English,,,,,,,,,
11971, English,,,,,,,,,
2625, English,,,,,,,,,
31911, English,,,,,,,,,
788, English,,,,,,,,,
21450, English,,,,,,,,,
11231, English,,,,,,,,,
41588, English,,,,,,,,,
10447, English,,,,,,,,,
31586, English,,,,,,,,,
9300, English,,,,,,,,,
9559, English,,,,,,,,,
9800, English,,,,,,,,,
713, English, ,,,,,,,,
8291, English, Français,,,,,,,,
18133, English,,,,,,,,,
25557, English,,,,,,,,,
22588, English,,,,,,,,,
10872, English,,,,,,,,,
1245, English,,,,,,,,,
11858, English, Español,,,,,,,,
7007, 日本語, English,,,,,,,,
10467, English,,,,,,,,,
5550, English, 日本語,,,,,,,,
8005, English,,,,,,,,,
2088, English,,,,,,,,,
10412, Português, Deutsch, English, 日本語, Tiếng Việt,,,,,
47889, English,,,,,,,,,
14534, English, Español,,,,,,,,
56583, English,,,,,,,,,
41878, Français, Deutsch, Español,,,,,,,
424, Deutsch, Polski, עִבְרִית, English,,,,,,
35233, English,,,,,,,,,
14291, English,,,,,,,,,
103413, English,,,,,,,,,
11236, English,,,,,,,,,
11592, English,,,,,,,,,
8850, English,,,,,,,,,
10445, English,,,,,,,,,
695, English,,,,,,,,,
43535, English,,,,,,,,,
12519, English,,,,,,,,,
23210, English,,,,,,,,,
858, English,,,,,,,,,
867, English,,,,,,,,,
78, English, Deutsch, 广州话 / 廣州話, 日本語, Magyar,,,,,
13203, English,,,,,,,,,
10442, Pусский, English,,,,,,,,
11074, English,,,,,,,,,
33367, English,,,,,,,,,
9607, English,,,,,,,,,
17585, English,,,,,,,,,
9057, English,,,,,,,,,
20967, Français, English,,,,,,,,
10635, English,,,,,,,,,
9479, English,,,,,,,,,
10057, English,,,,,,,,,
11969, English, Latin, Español,,,,,,,
41590, English,,,,,,,,,
319, English, Italiano,,,,,,,,
26408, English,,,,,,,,,
15139, Dansk, English, Français, Deutsch, Español,,,,,
161158, English,,,,,,,,,
218473,,,,,,,,,,
85247, English,,,,,,,,,
11446, English,,,,,,,,,
51980, Français,,,,,,,,,
24405, English,,,,,,,,,
11655, English, Español,,,,,,,,
11800, English,,,,,,,,,
8223, Español,,,,,,,,,
14587, English, हिन्दी,,,,,,,,
31504, English,,,,,,,,,
41653, svenska,,,,,,,,,
53185, English,,,,,,,,,
95743, English,,,,,,,,,
23637, Italiano,,,,,,,,,
17600, English,,,,,,,,,
10897, English,,,,,,,,,
349394,,,,,,,,,,
21352, English,,,,,,,,,
68806, Italiano,,,,,,,,,
37345, English,,,,,,,,,
32562, English,,,,,,,,,
47507, Français,,,,,,,,,
25403, العربية, English, Italiano, 普通话,,,,,,
124304,,,,,,,,,,
9066, Italiano, Deutsch, English, Magyar,,,,,,
771, English,,,,,,,,,
251, English,,,,,,,,,
812, English,,,,,,,,,
280, English, Español,,,,,,,,
581, English,,,,,,,,,
80350, English,,,,,,,,,
268, English, Français,,,,,,,,
274, English,,,,,,,,,
408, English,,,,,,,,,
10020, Français, English,,,,,,,,
10895, English,,,,,,,,,
114, English, Italiano, 日本語,,,,,,,
41043, Français, Pусский,,,,,,,,
576, English, Deutsch, Español,,,,,,,
15477, English,,,,,,,,,
59146, 普通话,,,,,,,,,
124472,,,,,,,,,,
30528, English,,,,,,,,,
7300, English,,,,,,,,,
10824, English,,,,,,,,,
261246, English,,,,,,,,,
275, English,,,,,,,,,
25059,,,,,,,,,,
11827, English, Magyar,,,,,,,,
8766, English,,,,,,,,,
23570, English,,,,,,,,,
47333, English, Français,,,,,,,,
54850,,,,,,,,,,
51242, Italiano,,,,,,,,,
10112, English,,,,,,,,,
4307, Español,,,,,,,,,
46029, English,,,,,,,,,
32308, English,,,,,,,,,
88893, Italiano, English,,,,,,,,
52873, Français,,,,,,,,,
123505, English,,,,,,,,,
340210, English,,,,,,,,,
44281, العربية,,,,,,,,,
28121, English,,,,,,,,,
12520, English,,,,,,,,,
1592, English, Español,,,,,,,,
166901, English,,,,,,,,,
36447, English,,,,,,,,,
19042, English,,,,,,,,,
38884, Català, English, Español,,,,,,,
47449, English,,,,,,,,,
36259, English,,,,,,,,,
41852, English,,,,,,,,,
40926, English,,,,,,,,,
9099, English,,,,,,,,,
2021, English,,,,,,,,,
61752, English,,,,,,,,,
10988, English,,,,,,,,,
11479, Français,,,,,,,,,
398959, Deutsch,,,,,,,,,
287305,,,,,,,,,,
339428, Deutsch,,,,,,,,,
12652, Français,,,,,,,,,
10684, English,,,,,,,,,
954, English, Français, Český,,,,,,,
68445, Deutsch, Íslenska, 日本語, English,,,,,,
18989, English,,,,,,,,,
10801, Deutsch,,,,,,,,,
54285, 한국어/조선말,,,,,,,,,
8840, English,,,,,,,,,
278978, Deutsch,,,,,,,,,
124625, English, Deutsch,,,,,,,,
11107, English, Italiano,,,,,,,,
16417, Afrikaans, English,,,,,,,,
70934,,,,,,,,,,
10363, English, Français, Italiano,,,,,,,
161070, English,,,,,,,,,
10539, English,,,,,,,,,
10543, English,,,,,,,,,
18414, English,,,,,,,,,
47502, English,,,,,,,,,
11902, English, Français, Deutsch, Pусский, Srpski,,,,,
27098, Deutsch, svenska, English,,,,,,,
25087, English,,,,,,,,,
5801, বাংলা,,,,,,,,,
896, বাংলা,,,,,,,,,
3065, English,,,,,,,,,
318177, English,,,,,,,,,
2300, English,,,,,,,,,
8069, English,,,,,,,,,
288173, Español, English,,,,,,,,
187851,,,,,,,,,,
27768,,,,,,,,,,
221917, English,,,,,,,,,
8072, Français,,,,,,,,,
35797, English, Français,,,,,,,,
88030, English, Português,,,,,,,,
185191,,,,,,,,,,
83857, English,,,,,,,,,
33245, English, Pусский,,,,,,,,
124460, English,,,,,,,,,
27281, English, Tiếng Việt,,,,,,,,
105045, Deutsch,,,,,,,,,
40001, English,,,,,,,,,
29621, English,,,,,,,,,
117730, עִבְרִית,,,,,,,,,
20762, Italiano, English,,,,,,,,
37144, English,,,,,,,,,
48260, English,,,,,,,,,
12656, English,,,,,,,,,
38867, English,,,,,,,,,
277270,,,,,,,,,,
25969, English,,,,,,,,,
44103, Nederlands, Français, Latin, Español,,,,,,
753, English,,,,,,,,,
43634, English, Español,,,,,,,,
9103, English,,,,,,,,,
90214, English,,,,,,,,,
29649, English,,,,,,,,,
10990, English,,,,,,,,,
8866, English,,,,,,,,,
12233, English,,,,,,,,,
23449, English,,,,,,,,,
36355, English,,,,,,,,,
37667, English,,,,,,,,,
90148, English, Español,,,,,,,,
922, English, Español,,,,,,,,
11876, Français, Italiano,,,,,,,,
52633, English,,,,,,,,,
62364, Español,,,,,,,,,
11687, Français,,,,,,,,,
9304, English,,,,,,,,,
73183,,,,,,,,,,
131232, Italiano,,,,,,,,,
9100, English,,,,,,,,,
20759, English,,,,,,,,,
46063, English,,,,,,,,,
365371,,,,,,,,,,
32513, English,,,,,,,,,
40651, English, Deutsch,,,,,,,,
36915, English,,,,,,,,,
40507, Español, English,,,,,,,,
9802, English,,,,,,,,,
25697, English,,,,,,,,,
21588, English, Italiano,,,,,,,,
664, English,,,,,,,,,
11867, English,,,,,,,,,
47119, Français,,,,,,,,,
314352, Deutsch,,,,,,,,,
9323, 日本語,,,,,,,,,
10280, English,,,,,,,,,
10535, English,,,,,,,,,
124613, English,,,,,,,,,
532, English,,,,,,,,,
26744, English, Français,,,,,,,,
16299, English,,,,,,,,,
10547, English,,,,,,,,,
245268, English,,,,,,,,,
935, English,,,,,,,,,
55613, Deutsch, English,,,,,,,,
215107,,,,,,,,,,
41007, English,,,,,,,,,
35645, English,,,,,,,,,
110465, English,,,,,,,,,
255546, English, Português,,,,,,,,
40751, 广州话 / 廣州話, 普通话,,,,,,,,
275096,,,,,,,,,,
85778, English,,,,,,,,,
11101, Deutsch, Pусский,,,,,,,,
9826, English,,,,,,,,,
9879, English,,,,,,,,,
63564, English,,,,,,,,,
22621, English,,,,,,,,,
7095, English,,,,,,,,,
26890, English,,,,,,,,,
46732, English,,,,,,,,,
124633, English, Srpski,,,,,,,,
202425, Français,,,,,,,,,
196940,,,,,,,,,,
77771, العربية, Français, Wolof,,,,,,,
181083, Français,,,,,,,,,
41225, English, Français, Deutsch, Italiano,,,,,,
188589,,,,,,,,,,
87190, English,,,,,,,,,
627, English,,,,,,,,,
32872, English, Français,,,,,,,,
602, English,,,,,,,,,
14553, English,,,,,,,,,
9566, English,,,,,,,,,
10545, Latin, English,,,,,,,,
9894, English,,,,,,,,,
11543, English,,,,,,,,,
9268, English,,,,,,,,,
52059,,,,,,,,,,
9327, English,,,,,,,,,
123763, Español,,,,,,,,,
81949, English, Română,,,,,,,,
42005, Magyar,,,,,,,,,
124306,,,,,,,,,,
183955, ,,,,,,,,,
44535, English,,,,,,,,,
44495, English,,,,,,,,,
78285, Français,,,,,,,,,
11228, English,,,,,,,,,
10779, English,,,,,,,,,
26748, English, Español,,,,,,,,
38223, English,,,,,,,,,
9294, English,,,,,,,,,
49963, English,,,,,,,,,
11363, English, Français,,,,,,,,
1645, English,,,,,,,,,
31546, English,,,,,,,,,
77056, Français,,,,,,,,,
36344, English,,,,,,,,,
18550, English,,,,,,,,,
11511, English,,,,,,,,,
172198, Magyar,,,,,,,,,
34170, English,,,,,,,,,
281085, English,,,,,,,,,
109478, English,,,,,,,,,
124645, English,,,,,,,,,
12606, English,,,,,,,,,
69895,,,,,,,,,,
35206, Français,,,,,,,,,
151489, Cymraeg,,,,,,,,,
4837, Français, English,,,,,,,,
12632, Deutsch,,,,,,,,,
9098, Deutsch,,,,,,,,,
282919,,,,,,,,,,
124614, English,,,,,,,,,
18975, English, Italiano,,,,,,,,
11962, English,,,,,,,,,
2925, English,,,,,,,,,
28628, English,,,,,,,,,
3595, English,,,,,,,,,
9308, English,,,,,,,,,
92381, English,,,,,,,,,
18555, English,,,,,,,,,
12123, English,,,,,,,,,
10830, English,,,,,,,,,
3573, English,,,,,,,,,
10546, English, Deutsch,,,,,,,,
18862, English,,,,,,,,,
31417, Français,,,,,,,,,
9431, English, Español,,,,,,,,
124619,,,,,,,,,,
297645, 普通话,,,,,,,,,
48144, 普通话,,,,,,,,,
46986, English, Deutsch, 日本語,,,,,,,
144982, English,,,,,,,,,
47907, English,,,,,,,,,
10061, English,,,,,,,,,
36266, Tiếng Việt,,,,,,,,,
549, English, Español,,,,,,,,
10478, English,,,,,,,,,
66634, English,,,,,,,,,
116690, 日本語,,,,,,,,,
213917, Français,,,,,,,,,
145925, Italiano,,,,,,,,,
100914,,,,,,,,,,
238, English, Italiano, Latin,,,,,,,
159, Deutsch,,,,,,,,,
11134, 广州话 / 廣州話, English, Bahasa melayu, ภาษาไทย,,,,,,
88224, English,,,,,,,,,
132641, 日本語,,,,,,,,,
42758, English,,,,,,,,,
9303, English,,,,,,,,,
23945, English,,,,,,,,,
37820, English,,,,,,,,,
22479, English,,,,,,,,,
9054, English,,,,,,,,,
241058, English,,,,,,,,,
11985, 普通话,,,,,,,,,
10232, Deutsch,,,,,,,,,
59569, English,,,,,,,,,
410921,,,,,,,,,,
38955, 广州话 / 廣州話,,,,,,,,,
110513, English,,,,,,,,,
114089,,,,,,,,,,
11015, English,,,,,,,,,
9306, English,,,,,,,,,
12559, English, Français, Español,,,,,,,
58770, English,,,,,,,,,
124851,,,,,,,,,,
3587, English,,,,,,,,,
10723, English,,,,,,,,,
56077, English,,,,,,,,,
19004, English,,,,,,,,,
101230, Nederlands, English,,,,,,,,
253632,,,,,,,,,,
10987, English,,,,,,,,,
44705, English, Español,,,,,,,,
20318, English, Deutsch, ,,,,,,,
43596, Deutsch,,,,,,,,,
79782, Polski,,,,,,,,,
26933, Français,,,,,,,,,
27854, Español, English,,,,,,,,
981, English,,,,,,,,,
872, English,,,,,,,,,
2769, English, Français, Deutsch,,,,,,,
13320, English,,,,,,,,,
164, English, Português,,,,,,,,
426, English,,,,,,,,,
567, English,,,,,,,,,
3078, English,,,,,,,,,
13528, English,,,,,,,,,
28288, English, Français, Italiano,,,,,,,
213, English,,,,,,,,,
284, English,,,,,,,,,
239, English,,,,,,,,,
4808, English, Français, Deutsch, Italiano,,,,,,
289, Deutsch, Français, Italiano, English,,,,,,
963, English,,,,,,,,,
11113, English,,,,,,,,,
6620, English, Italiano,,,,,,,,
804, English, Italiano,,,,,,,,
26531, English,,,,,,,,,
909, English,,,,,,,,,
630, English,,,,,,,,,
770, English,,,,,,,,,
31044, English,,,,,,,,,
599, English,,,,,,,,,
15, English,,,,,,,,,
62, English, Pусский,,,,,,,,
121357, English, Deutsch,,,,,,,,
705, English, Français,,,,,,,,
22490, English, Français,,,,,,,,
223, English, Français,,,,,,,,
25670, Nederlands, English, Latviešu,,,,,,,
303, English,,,,,,,,,
4174, English,,,,,,,,,
8356, English, Français, Italiano, Português,,,,,,
381, Français, English,,,,,,,,
20758, Italiano, English,,,,,,,,
29376, Français, English,,,,,,,,
