k,Job,Name
2069, Casting, Nancy Nayor
2662, Executive Producer, Andy Given
63, Sound mixer, Jay Meagher
39449, Cinematography, Richard Pepin
49521, Producer, Charles Roven
238, Original Music Composer, Nino Rota
14306, Set Decoration, Hilton Rosemarin
8869, Unit Production Manager, Kelly Van Horn
256274, Art Direction, Pascal Leguellec
10681, Set Dressing Artist, Derek Williams
239, Special Effects, Milt Rice
4614, Supervising Art Director, Andrew Neskoromny
1213, Sound Effects Editor, Kyrsten Mate
15206, Writer, Simona Simonetti
10320, Makeup Department Head, Debbie Zoller
7445, Foley, Catherine Harper
9504, Casting, Bonnie Timmermann
1844, Producer, Michael Hertzberg
271110, Associate Producer, Lars P. Winther
206647, Screenplay, Neal Purvis
201088, Editor, Mako Kamitsuna
384798, Editor, Alex Mackie
34544, Art Direction, Michael Diner
38027, Production Sound Mixer, William Randall
9373, Second Unit Cinematographer, Kenny Bates
441483, Casting Assistant, Iain Belcher
809, Producer, Aron Warner
205, Editor, Naomi Geraghty
241843, Executive Producer, Gevond Andreasyan
11030, Production Design, Mel Bourne
3021, Production Design, Andrew Laws
1368, Set Decoration, Kimberley Richardson
103332, Producer, Ron Yerxa
37834, Set Decoration, Jay Hart
280996, Producer, Iain Canning
109410, Original Music Composer, Mark Isham
33409, Producer, John Shepherd
2454, Editor, Sim Evan-Jones
9291, Executive Producer, Adam Sandler
388399, Producer, Stephen Levinson
339692, Producer, Gary Michael Walters
340837, Editor, Pete Beaudreau
348060, Original Music Composer, Laurent Perez
333371, Costume Design, Meagan McLaughlin
238589, Casting, Marianne Stanicheva
, Director of Photography, John Mathieson
38757, Co-Art Director, Dan Cooper
77663, Executive Producer, Danny Dimbort
1577, Original Music Composer, Jeff Danna
73, Casting, Valerie McCaffrey
1832, Costume Design, Abigail Murray
254, Casting, Victoria Burrows
77459, Original Music Composer, Mathieu Chedid
10316, Supervising Sound Editor, Elmo Weber
11547, Editor, Ryan Folsey
10479, Stunt Coordinator, Buddy Joe Hooker
680, Casting, Ronnie Yeskel
13572, Producer, Anne Kopelson
16538, Production Design, Andrew Laws
86834, Supervising Art Director, Dan Webster
10193, Production Design, Bob Pauley
7450, Music Supervisor, Glen Ballard
76757, Director, Lana Wachowski
169, Editor, Bert Lovitt
240832, Still Photographer, Jessica Forde
283995, Producer, Kevin Feige
395992, Producer, Dana Goldberg
9785, Screenplay, Mick Davis
9772, Producer, Wolfgang Petersen
34851, Stunt Coordinator, Jeffrey J. Dashnaw
4232, Director of Photography, Mark Irwin
181533, Director, Shawn Levy
5966, Makeup Artist, Valli OReilly
2054, Supervising Sound Editor, Tim Chau
60405, Costume Design, Tom McKinley
9741, Stunt Coordinator, Jeff Habberstad
15472, Production Design, Niels Sejer
242095, Writer, William Eubank
131631, Casting, Debra Zane
7916, Editor, Karen Porter
15092, Hairstylist, Peggy Semtob
818, Editor, Greg Hayden
47933, Producer, Dean Devlin
52505, Director of Photography, Steve Yedlin
423, Casting, Heta Mantscheff
2978, Art Direction, Tom Duffield
11615, Costume Design, Renee Ehrlich Kalfus
7220, Editor, Steven Kemper
393519, Director, Julia Ducournau
10909, Casting, Carol Lewis
337844, Music, Volker Bertelmann
25748, Production Design, Gregory Melton
8247, Director, Doug Liman
23592, Editor, Harvey Rosenstock
283445, Characters, C. Robert Cargill
50646, Production Design, William Arnold
, Director of Photography, Matthew Jensen
173205, Director of Photography, Mike Ozier
245700, Makeup Artist, Lesa Warrener
807, Casting Assistant, Kim Coleman
14442, Script Supervisor, Jean Bourne
266639, Producer, Scooter Braun
52454, Screenplay, Naomi L. Selfman
44214, Executive Producer, Jon Avnet
13775, Music, John Clifford White
122917, Director of Photography, Andrew Lesnie
107073, Associate Producer, Anne-Cécile Berthomeau
10727, Production Design, George Liddle
13056, Executive Producer, Ogden Gavanski
381015, Original Music Composer, Joey Klein
300671, Casting Associate, Liz Ludwitzke
199647, Writer, Gabrielle Demeestere
118340, Set Designer, Steven Lawrence
49538, Costume Design, Sammy Sheldon
37534, Director of Photography, Checco Varese
14784, Director, Tarsem Singh
4547, Sound Designer, Ren Klyce
225565, Editor, Shawn Paper
157851, Producer, Saïd Ben Saïd
19255, Original Music Composer, Alexi Murdoch
15357, Casting, Herve Jakubowicz
550, Producer, Ross Grayson Bell
13018, Screenstory, Mark Bomback
10410, Special Effects Coordinator, John Frazier
64690, Producer, Gigi Pritzker
9902, Foley, Goro Koyama
8053, Producer, Michael Fitzgerald
14549, Screenplay, Brian King
6075, Original Music Composer, Patrick Doyle
2925, Production Design, Peter S. Larkin
61791, Digital Intermediate, Curtis Lindersmith
44826, Editor, Thelma Schoonmaker
69, Casting, Lisa Beach
20606, Costume Design, Hayley Nebauer
334543, Dialogue Editor, Glenn Newnham
376866, Art Direction, Halina Gebarowicz
252178, Executive Producer, Danny Perkins
124905, Location Manager, Matthew Riutta
127585, Director, Bryan Singer
156717, Stunts, Erik Cord
49040, Sound Designer, Christopher Assells
314365, Executive Producer, Jeff Skoll
369885, Director of Photography, Don Burgess
267860, Producer, Alan Siegel
, Casting, Suzanne Smith
414977, Associate Producer, Jen Cohen
91314, Screenplay, Ehren Kruger
1858, Special Effects, John Frazier
18823, Director of Photography, Peter Menzies Jr.
192149, Screenplay, Hossein Amini
4327, Executive Producer, Jenno Topping
76170, Director of Photography, Ross Emery
3597, Set Decoration, James Edward Ferrell Jr.
72440, Compositors, Bradley Gaines
179, Casting, Ellen Lewis
204922, Production Design, Kave Quinn
2787, Thanks, Jonathan Bader
134597, Special Effects Coordinator, David Fletcher
6972, Costume Design, Catherine Martin
1957, Writer, Nicholas Kazan
345874, Editor, Sabine Hoffman
949, Casting, Bonnie Timmermann
76163, Producer, Les Weldon
12201, Producer, Graham King
1359, Director, Mary Harron
68734, Executive Producer, Chris Brigham
157353, Producer, Marisa Polvino
50546, Producer, Jack Giarraputo
9397, Original Music Composer, John Powell
19384, Original Music Composer, Jan Hammer
8413, Production Design, Joseph Bennett
16, Producer, Els Vandevorst
345938, Set Designer, Cheryl Marion
4517, Supervising Sound Editor, Mark Auguste
333484, Hair Department Head, Mary L. Mastro
8204, Supervising Art Director, Isabelle Guay
23483, Director of Photography, Ben Davis
597, Art Direction, Martin Laing
4982, Co-Producer, Jonathan Filley
443319, Editor, Joshua Rosenfield
137113, Producer, Jeffrey Silver
11808, Art Direction, Bruce Alan Miller
49049, Costume Design, Michael OConnor
333352, Casting, Kate Dowd
205584, Music, Marco Beltrami
13771, Executive Producer, Miles Ketley
308504, Executive Producer, Russell Levine
23629, Supervising Sound Editor, Scott Hecker
1646, Sound Effects Editor, Dino Dimuro
11208, Music Editor, Richard Henderson
820, Producer, A. Kitman Ho
9835, Executive Producer, Robert L. Levy
23514, Screenplay, Bruce Robinson
9691, Producer, Andrew Lazar
24558, Production Design, Harry Pottle
82682, Editor, James Herbert
1635, Art Direction, Sean Haworth
28178, Executive Producer, Paul Mason
9693, Hairstylist, Lorna McGowan
9438, Animation, Silvia Pompei
13564, Director, Víctor García
10328, Director of Photography, Donald Peterman
74643, Co-Producer, Jeremy Burdek
338189, Assistant Director, Sinan Saber
394063, Digital Compositors, Elliott Ducruy
40466, Creature Technical Director, Gregory Nicotero
2770, Director, J.B. Rogers
11377, Executive Producer, Steve Richards
329440, Co-Producer, James Ward Byrkit
2252, Co-Producer, Tracey Seaward
14125, Stunt Coordinator, Pat Banta
77883, Executive Producer, Michael Paseornek
157849, Foley, Carsten Richter
5471, Producer, Sturla Gunnarsson
429662, Editor, Valerio Bonelli
326425, Executive Producer, Barry Brooker
374473, Costume Design, Jo Slater
20453, Producer, Vidhu Vinod Chopra
46261, Screenplay, Guillermo del Toro
333663, Set Decoration, Edward McLoughlin
285270, Director, Will Bakke
82690, Visual Development, Joe Pitt
300672, Art Direction, Yvonne Boudreaux
50037, Foley Editor, Brody Ratsoy
10010, Story, Carole Holliday
48336, Director, Liv Ullmann
4927, Hair Setup, Bobby Collins
87436, Director, Anders Morgenthaler
2266, Director, Richard LaGravenese
191476, Director, Jonas Mekas
9806, Visual Effects, Randy Berrett
68735, Producer, Thomas Tull
115442, Producer, Wasiliki Bleser
588, Production Design, Carol Spier
59965, Stunt Coordinator, Brad Martin
13975, Producer, Michael Fitzgerald
169917, Editor, Jill Savitt
292040, Producer, Jane Featherstone
1091, Screenplay, Bill Lancaster
334541, Casting, Carolyn Pickman
365942, Story, Stewart Schill
417644, Set Decoration, Halina Siwolop
324542, Screenplay, Andrea Berloff
60279, Set Decoration, Zoltán Szabó
2539, Assistant Director, Aldric LaAuli Porter
180863, Sound Designer, Glenn Freemantle
10299, Costume Design, Norma Koch
7131, Associate Producer, Matthew Stillman
24428, Executive Producer, Avi Arad
253412, Rigging Gaffer, Ross Grainger
21407, Art Direction, Michael Barton
269149, Technical Supervisor, Gregory Smith
12578, Director, Bernhard Sinkel
188102, Editor, Saul Pincus
27578, Visual Effects Editor, Sharon Smith Holley
55, Producer, Raúl Olvera Ferrer
29456, Lighting Technician, Andreas Kragh-Jacobsen
414719, Production Manager, Thierry Tanguy
379019, Sets & Props Supervisor, Andreas Laurenz Maier
50560, Makeup Artist, Roseanne McIlvane
13715, Production Design, Peter Jamison
176, Casting, Amy Lippens
862, Art Direction, Ralph Eggleston
45317, Thanks, Cameron Crowe
1271, Supervising Art Director, Isabelle Guay
2503, Stunt Coordinator, Dan Bradley
83542, Casting, Lora Kennedy
12289, Producer, Woo-Taek Kim
296, Casting, Sarah Finn
9739, Sound Effects Editor, Greg Dillon
403642, Set Decoration, Mary Goodson
193756, Producer, Akiva Goldsman
168098, Producer, Richard Saperstein
107846, Set Decoration, Bradford Johnson
2502, Production Illustrator, Peter Popken
68718, Thanks, RZA
336004, Screenplay, Stephen C. Sepher
9433, Editor, Neil Travis
243938, Editor, Jamie Gross
312831, Line Producer, Cathleen Dore
334535, Original Music Composer, Saunder Jurriaans
9921, Director, Lee Daniels
77221, Director of Photography, Jean-Marie Dreujou
77221, Director of Photography, Jean-Marie Dreujou
30304, Sound Designer, Jonathan Miller
331190, Editor, Melissa Kent
201085, Producer, Guillermo del Toro
297806, Digital Intermediate, Stefan Sonnenfeld
37019, Production Design, Gregory Melton
3600, Production Design, Doug Kraner
399790, Sound Re-Recording Mixer, Rob Hughes
279641, Casting, Tiffany Little Canfield
414, Location Manager, Laura Sode-Matteson
9361, Editor, Arthur Schmidt
205588, Casting, Rachid Aadassi
323677, Producer, Dominique Séguin
2048, Executive Producer, Anthony Romano
270771, Writer, Thomas S. Hammock
206487, Director of Photography, Ben Nott
50365, Stunt Coordinator, Olivier Schneider
8669, Key Hair Stylist, Judi Cooper-Sealy
405473, Writer, Colin Thornton
608, Costume Design, Mary E. Vogt
32593, Casting, Linda Lowy
26129, Line Producer, Tim Moore
12775, Orchestrator, Jack Smalley
18840, Production Design, Andrew Sanders
9388, Co-Producer, Daniel Dubiecki
8555, Music, The Insects
116, Casting, Gail Stevens
132363, Writer, Danny Strong
9819, Art Direction, Peter Rogness
2123, Producer, Bradley Thomas
341174, Producer, Dana Brunetti
328387, Art Direction, Marc Benacerraf
10344, Costume Design, Christopher Ryan
10865, Story, Tab Murphy
568, Director, Ron Howard
11093, Executive Producer, Nina R. Sadowsky
354110, Producer, Bill Marks
11128, Assistant Art Director, Hugo Santiago
250546, Stunts, Joseph Bishara
10008, Executive Producer, Robert Little
11891, Original Music Composer, Robert Folk
80274, Producer, Alex Kurtzman
9874, Producer, Tony Munafo
2288, Producer, John Calley
49494, Production Design, Michael Carlin
321258, Director of Photography, Daniel Pearl
264656, Executive Producer, Michael Fitzgerald
281957, Foley, Catherine Harper
333384, Production Design, Melanie Jones
47964, Screenplay, Skip Woods
9742, Comic Book, Rötger Feldmann
48635, Producer, Andrés Vicente Gómez
9514, Line Producer, Stefaan Schieder
443700, Property Master, Nando Del Castillo
197033, Music, Lior Rosner
146301, Editor, Michel Aller
8078, Music, John Frizzell
192141, Co-Producer, Stephanie Wilcox
283384, Set Decoration, Christina Kuhnigk
184315, Art Direction, Robert Cowper
17771, Production Design, Attila Kovács
8866, Art Direction, Jeff Knipp
926, Set Decoration, Ric McElvin
8916, Executive Producer, Penney Finkelman Cox
2666, Costume Design, Liz Keogh
13813, Visual Effects Supervisor, William Mesa
70981, Steadicam Operator, Daniele Massaccesi
14254, Sound Re-Recording Mixer, Greg P. Russell
297761, Producer, Richard Suckle
16781, Theatre Play, Tyler Perry
323384, Producer, Oliver De Caigny
193893, Director of Photography, Daryn Okada
10066, Author, Chad Hayes
97434, Producer, Mike Lobell
388347, Foley, Julie Ankerson
72431, Production Design, Michael Carlin
138376, Director, Damian Lee
334524, Producer, Patrick Massett
393, Associate Producer, Koko Maeda
321741, Hair Department Head, Kathrine Gordon
5289, Producer, Michael Derbas
302401, Producer, Philip Schulz-Deyle
152259, Second Unit Director of Photography, Mark Kohl
270010, Original Music Composer, Johnny Klimek
28019, Production Design, Vincent DeFelice
1586, Editor, Jill Savitt
274479, Co-Producer, Michele Ziegler
288158, Associate Producer, Jillian Longnecker
17209, Production Design, Radu Corciova
13613, Screenplay, Jeffrey Reddick
10559, Set Decoration, Gordon Sim
11880, Director, Neil Marshall
167073, Costume Design, Odile Dicks-Mireaux
312791, Set Decoration, Garren Dunbar
13223, Casting, Ellen Chenoweth
14877, Foley, James Moriana
209504, Costume Design, Dan Selon
7347, Original Music Composer, Pedro Bromfman
49020, Executive Producer, Linda James
15915, Writer, Bertrand Bonello
250066, Original Music Composer, Roman Vishnevsky
153, Editor, Sarah Flack
22172, Director of Photography, David Sperling
26976, Writer, Emma Thompson
241257, Still Photographer, Jan Thijs
118957, Producer, Todd Fellman
11353, Costume Design, Joseph G. Aulisi
6171, CG Supervisor, Curt I. Miyashiro
37735, Art Direction, Bo Johnson
408381, Producer, Matthew G. Zamias
42764, Music, Knifewing Segura
371447, Producer, Alex Lipschultz
11603, Director of Photography, Ken Kelsch
575, Set Designer, Andrea Kessler
3573, Sound Re-Recording Mixer, Robert Farr
109414, Production Design, Chris L. Spellman
58244, Music, Benoît Charest
11453, Original Music Composer, James L. Venable
312221, Producer, Kevin King Templeton
693, Additional Music, Bruno Coon
7551, Costume Supervisor, Dan Moore
284564, Executive Producer, Albert T. Dickerson III
12405, Sound Effects Editor, Ben Barker
15019, Casting Associate, Wayne Morse
131737, Art Direction, Caroline Steiner
334521, Set Decoration, Liz Griffiths
298382, Supervising Sound Editor, Glenn Newnham
11045, Director, Tim Story
256917, Stunt Coordinator, Zev Eleftheriou
8975, Director, John Bonito
11024, Characters, William Hanna
553, Supervising Sound Editor, Kristian Eidnes Andersen
314385, Producer, Angelina Jolie
357096, Director of Photography, Richard J. Vialet
254473, Casting, Andrea Kenyon
70876, Stunt Coordinator, Ele Bardha
11459, Art Direction, William Hawkins
297291, Production Design, Christian Niculescu
377264, Music Editor, Michael Connell
68737, Executive Producer, Jon Jashni
298, Editor, Stephen Mirrione
388440, Director of Photography, Christopher C. Pearson
9665, Visual Effects, Bill Taylor
302699, Story, Ike Barinholtz
101173, Producer, Gabrielle Tana
356752, Unit Production Manager, Electra Stratigaki
13416, Director, Peter Berg
401164, Editor, Sofi Marshall
, Screenplay, Derek Connolly
1572, Foley, Christopher Moriana
9411, Hairstylist, Larry M. Cherry
857, Set Decoration, Lisa Dean
9619, Co-Producer, Marliese Schneiderman
10632, Original Music Composer, Brian Tyler
1250, Casting, Christine King
380808, Digital Intermediate, Jeff Cornell
9672, Screenplay, Douglas McGrath
168259, Producer, Michael Fottrell
12088, Director of Photography, David Eggby
218778, Executive Producer, Philip Steuer
167, Casting, Debra Zane
11499, Unit Production Manager, Kathleen McGill
39538, Production Design, Howard Cummings
82693, Music Editor, Dick Bernstein
924, Executive Producer, Dennis E. Jones
399173, Line Producer, Kenneth Burke
245168, Director, Sarah Gavron
14620, Editor, Chris Conlee
18619, Set Decoration, Arturas Jakstas
416691, Script Supervisor, Elizabeth Seaford
11661, Editor, Andrea Sedláčková
2059, Associate Producer, Michael Uslan
308266, Music, Cliff Martinez
9398, Producer, Ben Stiller
26428, Producer, Fernando Bovaira
34480, Production Design, Simon Bowles
853, Production Design, Wolf Kroeger
207454, Set Decoration, Laurin Guthrie
381284, Producer, Jenno Topping
87492, Makeup Department Head, Bill Corso
376290, Casting, Tiffany Little Canfield
954, Production Design, Norman Reynolds
39477, Co-Producer, Sunday Boling
6163, Key Hair Stylist, Stefano Ceccarelli
241258, Producer, Jason Blum
98549, Makeup Artist, Marlene D. Whiton
2924, Second Unit Cinematographer, Todd Hallowell
257087, Music, Nathan Whitehead
2657, Screenplay, Gary Ross
347944, Music, James Curd
6623, Co-Producer, Leslie Cockburn
330, Screenplay, David Koepp
8838, Screenplay, Mark Rosenthal
138832, Story, Bob Fisher
278, Executive Producer, Liz Glotzer
8328, Choreographer, Jamal Sims
334536, Director of Photography, Julie Kirkwood
10591, Director of Photography, Jamie Anderson
771, Director of Photography, Julio Macat
11351, Producer, Tom Luse
76812, Original Music Composer, Federico Jusid
397415, Costume Design, Peggy Stamper
297, Screenplay, Bo Goldman
9982, Story, Mark Kennedy
13376, Art Direction, Philip A. Cruden
9444, Editor, Bob Bender
33586, Editor, Phyllis Housen
